,numCrimes,years
0,886,2003
1,814,2004
2,687,2005
3,521,2006
4,581,2007
5,789,2008
6,956,2009
7,827,2010
8,762,2011
9,704,2012
10,464,2013
11,345,2014
12,551,2015
13,654,2016
14,32,2017
