,numCrimes,years
0,1952,2003
1,1527,2004
2,1103,2005
3,1290,2006
4,1873,2007
5,1673,2008
6,1468,2009
7,1299,2010
8,1094,2011
9,690,2012
10,692,2013
11,449,2014
12,374,2015
13,640,2016
14,39,2017
