,numCrimes,years
0,1281,2003
1,1252,2004
2,1341,2005
3,1324,2006
4,1318,2007
5,1419,2008
6,1433,2009
7,1349,2010
8,1329,2011
9,1460,2012
10,1535,2013
11,1580,2014
12,1655,2015
13,1651,2016
14,138,2017
