,numCrimes,years
0,800,2003
1,641,2004
2,540,2005
3,575,2006
4,527,2007
5,518,2008
6,660,2009
7,680,2010
8,785,2011
9,932,2012
10,1224,2013
11,1084,2014
12,959,2015
13,878,2016
14,87,2017
