,numCrimes,years
0,26393,2003
1,24505,2004
2,25319,2005
3,27352,2006
4,25770,2007
5,25807,2008
6,25585,2009
7,24446,2010
8,25905,2011
9,30976,2012
10,36412,2013
11,38003,2014
12,42068,2015
13,40263,2016
14,3366,2017
