,numCrimes,years
0,6047,2003
1,6753,2004
2,7071,2005
3,7004,2006
4,5454,2007
5,5679,2008
6,5379,2009
7,4966,2010
8,4987,2011
9,6243,2012
10,6195,2013
11,6067,2014
12,5932,2015
13,5776,2016
14,464,2017
