,numCrimes,years
0,15325,2003
1,17884,2004
2,18194,2005
3,7291,2006
4,6460,2007
5,6053,2008
6,5183,2009
7,4346,2010
8,4762,2011
9,6183,2012
10,6241,2013
11,7108,2014
12,7946,2015
13,6398,2016
14,450,2017
