,numCrimes,years
0,3204,2003
1,3380,2004
2,3566,2005
3,4131,2006
4,4027,2007
5,4229,2008
6,3578,2009
7,3324,2010
8,3376,2011
9,3955,2012
10,4196,2013
11,3420,2014
12,3759,2015
13,3293,2016
14,234,2017
