,numCrimes,years
0,289,2003
1,244,2004
2,196,2005
3,266,2006
4,313,2007
5,408,2008
6,579,2009
7,458,2010
8,470,2011
9,421,2012
10,448,2013
11,381,2014
12,430,2015
13,369,2016
14,30,2017
