,numCrimes,years
0,662,2003
1,600,2004
2,636,2005
3,703,2006
4,671,2007
5,710,2008
6,804,2009
7,706,2010
8,652,2011
9,644,2012
10,954,2013
11,620,2014
12,576,2015
13,464,2016
14,30,2017
