,numCrimes,years
0,1434,2003
1,1191,2004
2,1034,2005
3,1102,2006
4,1198,2007
5,1151,2008
6,1232,2009
7,1150,2010
8,1072,2011
9,1288,2012
10,1129,2013
11,1125,2014
12,1403,2015
13,1807,2016
14,152,2017
