,numCrimes,years
0,6448,2003
1,6496,2004
2,7013,2005
3,7688,2006
4,7566,2007
5,7342,2008
6,7604,2009
7,7934,2010
8,7243,2011
9,7808,2012
10,6921,2013
11,7167,2014
12,7675,2015
13,8567,2016
14,779,2017
